t,pixel_acc,balanced_acc,fg_acc,bg_acc,hamming,mae
1,0.9702048599720001,0.9325957745313644,0.8817967772483826,0.9833947718143463,0.029795140027999878,0.02979512047022581
5,0.969148576259613,0.9334879517555237,0.8837194740772247,0.9832564294338226,0.030851423740386963,0.030851402319967747
10,0.9679926633834839,0.928013488650322,0.8735248148441315,0.9825021624565125,0.03200733661651611,0.032007332891225815
20,0.9674844145774841,0.9283684343099594,0.8748204410076141,0.9819164276123047,0.03251558542251587,0.032515544444322586
30,0.9661192297935486,0.9207594692707062,0.8596600294113159,0.9818589091300964,0.033880770206451416,0.03388073854148388
40,0.9676239490509033,0.9266097545623779,0.8706948757171631,0.9825246334075928,0.03237605094909668,0.032376036047935486
50,0.9674445688724518,0.9265310913324356,0.8710108995437622,0.982051283121109,0.03255543112754822,0.03255540505051613
60,0.9648835957050323,0.9225319027900696,0.864581286907196,0.9804825186729431,0.03511640429496765,0.03511638939380646
75,0.9633589386940002,0.915214940905571,0.8496033847332001,0.9808264970779419,0.036641061305999756,0.03664102219045162
100,0.9597815573215485,0.9082533568143845,0.8378525078296661,0.9786542057991028,0.04021844267845154,0.04021842963993549
125,0.9539221823215485,0.8898045271635056,0.8031083941459656,0.9765006601810455,0.04607781767845154,0.04607780650258064
150,0.950005978345871,0.8801849335432053,0.7855329215526581,0.9748369455337524,0.04999402165412903,0.04999401979148388
200,0.935178130865097,0.8444049209356308,0.7207066714763641,0.9681031703948975,0.06482186913490295,0.06482182815670967
250,0.9133549928665161,0.7834815233945847,0.6087586283683777,0.9582044184207916,0.08664500713348389,0.08664500713348389
300,0.8860809803009033,0.7325347512960434,0.5253872275352478,0.939682275056839,0.11391901969909668,0.11391900107264519
400,0.8475266993045807,0.6497347205877304,0.38741493225097656,0.9120545089244843,0.1524733006954193,0.15247329324483871
500,0.8316425979137421,0.6254070177674294,0.34315745532512665,0.9076565802097321,0.16835740208625793,0.16835737973451614
