t,pixel_acc,balanced_acc,fg_acc,bg_acc,hamming,mae
1,0.9999601244926453,0.9999140053987503,0.9998510181903839,0.9999769926071167,3.987550735473633e-05,3.98596939703566e-05
5,0.9998704493045807,0.9998331218957901,0.999781608581543,0.9998846352100372,0.00012955069541931152,0.00012954400153830647
10,0.9996910691261292,0.9994131922721863,0.9990332424640656,0.999793142080307,0.0003089308738708496,0.00030891262576915324
20,0.9993323385715485,0.9987092465162277,0.9978572130203247,0.9995612800121307,0.0006676614284515381,0.0006676498451270163
30,0.9987742900848389,0.9977592676877975,0.9963795244693756,0.9991390109062195,0.0012257099151611328,0.00122568552615121
40,0.9979970455169678,0.9962898045778275,0.9939703345298767,0.9986092746257782,0.0020029544830322266,0.002002949535381049
50,0.9974091053009033,0.9946917444467545,0.9910197257995605,0.9983637630939484,0.0025908946990966797,0.0025908800307661295
60,0.9959741532802582,0.991581454873085,0.9855987131595612,0.9975641965866089,0.004025846719741821,0.004025828908197582
75,0.9945491850376129,0.988814577460289,0.9809678494930267,0.9966613054275513,0.005450814962387085,0.005450812866911292
100,0.9913902878761292,0.9824260771274567,0.9702109396457672,0.9946412146091461,0.00860971212387085,0.008609693497419357
125,0.9865473210811615,0.9735397398471832,0.955666720867157,0.9914127588272095,0.013452678918838501,0.01345264632254839
150,0.9823720455169678,0.9638182818889618,0.9387198090553284,0.9889167547225952,0.017627954483032227,0.017627949826419353
200,0.970723032951355,0.9387750178575516,0.8952407240867615,0.9823093116283417,0.02927696704864502,0.02927694469690323
250,0.9499362111091614,0.895579531788826,0.8215546309947968,0.9696044325828552,0.05006378889083862,0.05006377398967743
300,0.9266581535339355,0.8536255210638046,0.7523869574069977,0.9548640847206116,0.07334184646606445,0.07334183529019356
400,0.8571129441261292,0.7074508294463158,0.5010920614004135,0.913809597492218,0.14288705587387085,0.14288704097270966
500,0.8554787039756775,0.7050974890589714,0.49877630174160004,0.9114186763763428,0.1445212960243225,0.14452128112316132
