t,pixel_acc,balanced_acc,fg_acc,bg_acc,hamming,mae
1,0.9998804032802582,0.9998413175344467,0.9997873604297638,0.9998952746391296,0.00011959671974182129,0.0001195790755446069
5,0.9990931749343872,0.998522475361824,0.99773770570755,0.999307245016098,0.000906825065612793,0.0009068080107681453
10,0.9973094463348389,0.9954802989959717,0.992960512638092,0.9980000853538513,0.002690553665161133,0.002690529217943549
20,0.9908721148967743,0.9829189479351044,0.9721833169460297,0.9936545789241791,0.009127885103225708,0.009127869736403227
30,0.9832888245582581,0.966955378651619,0.9448566436767578,0.9890541136264801,0.016711175441741943,0.016711176373064518
40,0.971869021654129,0.9470256865024567,0.9127650856971741,0.9812862873077393,0.02813097834587097,0.02813097834587097
50,0.9588747322559357,0.9186957329511642,0.8639072179794312,0.9734842479228973,0.04112526774406433,0.04112523980438709
60,0.9444754123687744,0.8883535861968994,0.8128795325756073,0.9638276398181915,0.055524587631225586,0.05552455224096775
75,0.9105249345302582,0.8227231651544571,0.7044777870178223,0.9409685432910919,0.08947506546974182,0.08947504311800003
100,0.8685128092765808,0.7345079779624939,0.5520190000534058,0.916996955871582,0.1314871907234192,0.1314871609210968
125,0.8527084589004517,0.6952378153800964,0.47918373346328735,0.9112918972969055,0.14729154109954834,0.14729153364896774
150,0.8481445014476776,0.6930617094039917,0.48189225792884827,0.9042311608791351,0.1518554985523224,0.1518554612994194
200,0.8543626368045807,0.6975246965885162,0.48182961344718933,0.9132197797298431,0.1456373631954193,0.14563734829425812
250,0.8550900518894196,0.6938708424568176,0.4759927988052368,0.9117488861083984,0.14490994811058044,0.14490991085767746
300,0.856654554605484,0.7109831944108009,0.5109069794416428,0.9110594093799591,0.143345445394516,0.1433454230427742
400,0.8549904227256775,0.7047386839985847,0.49862612783908844,0.910851240158081,0.1450095772743225,0.14500956237316132
500,0.8602518737316132,0.7175932377576828,0.5257836878299713,0.9094027876853943,0.13974812626838684,0.13974808901548386
