t,pixel_acc,balanced_acc,fg_acc,bg_acc,hamming,mae
1,0.9999202787876129,0.9998289048671722,0.9997040033340454,0.9999538064002991,7.972121238708496e-05,7.97193861217238e-05
5,0.9997907280921936,0.9994826912879944,0.9990682899951935,0.9998970925807953,0.00020927190780639648,0.00020926338766003028
10,0.9993821680545807,0.9988961964845657,0.9982302188873291,0.9995621740818024,0.0006178319454193115,0.0006178252515383065
20,0.9976682066917419,0.9952879846096039,0.9920183718204498,0.9985575973987579,0.0023317933082580566,0.0023317920276895165
30,0.9955058097839355,0.9905305802822113,0.9836418032646179,0.9974193572998047,0.004494190216064453,0.00449418043717742
40,0.992994636297226,0.9852118641138077,0.9747932851314545,0.9956304430961609,0.007005363702774048,0.007005341118201613
50,0.9892179071903229,0.978283703327179,0.9633051156997681,0.9932622909545898,0.010782092809677124,0.01078204670920968
60,0.9850127398967743,0.9692300111055374,0.9473701417446136,0.9910898804664612,0.014987260103225708,0.014987244736403227
75,0.9773895740509033,0.9541191309690475,0.922430694103241,0.9858075678348541,0.02261042594909668,0.022610411047935486
100,0.9625418186187744,0.9252198487520218,0.8741217255592346,0.976317971944809,0.037458181381225586,0.0374581478536129
125,0.9405791461467743,0.882109209895134,0.8025350570678711,0.9616833627223969,0.05942085385322571,0.059420837089419365
150,0.9185566604137421,0.8308942168951035,0.7133817076683044,0.9484067261219025,0.08144333958625793,0.08144331723451614
200,0.8708346486091614,0.7217087000608444,0.5193342566490173,0.9240831434726715,0.12916535139083862,0.12916533648967743
250,0.8549107015132904,0.6873811334371567,0.4598008394241333,0.91496142745018,0.1450892984867096,0.1450892835855484
300,0.852260023355484,0.6802366897463799,0.4449272006750107,0.915546178817749,0.147739976644516,0.1477399542927742
400,0.8550701439380646,0.680825799703598,0.43975862860679626,0.9218929708003998,0.14492985606193542,0.14492984116077423
500,0.8538045883178711,0.6830640137195587,0.449421226978302,0.9167068004608154,0.1461954116821289,0.14619538933038712
