t,pixel_acc,balanced_acc,fg_acc,bg_acc,hamming,mae
1,0.9997209906578064,0.9993041753768921,0.9987347722053528,0.9998735785484314,0.0002790093421936035,0.0002790178405120969
5,0.9994817972183228,0.9988701194524765,0.9980287253856659,0.9997115135192871,0.0005182027816772461,0.0005181760061532259
10,0.9981863498687744,0.9961152672767639,0.9932779967784882,0.9989525377750397,0.001813650131225586,0.0018136160215362906
20,0.9924565255641937,0.9840621799230576,0.9725804328918457,0.9955439269542694,0.007543474435806274,0.007543446961790323
30,0.9861288070678711,0.9710383117198944,0.9504905641078949,0.9915860593318939,0.013871192932128906,0.013871172908693552
40,0.9740712642669678,0.9455664902925491,0.9066306948661804,0.9845022857189178,0.025928735733032227,0.02592873014509678
50,0.9571508169174194,0.9093750715255737,0.8442132771015167,0.9745368659496307,0.042849183082580566,0.04284917004406452
60,0.9432297945022583,0.8839108049869537,0.8022507429122925,0.965570867061615,0.0567702054977417,0.056770168244838715
75,0.8991748988628387,0.7975657731294632,0.6587434709072113,0.9363880753517151,0.10082510113716125,0.10082509368658066
100,0.8422153890132904,0.6621747612953186,0.421546995639801,0.9028025269508362,0.1577846109867096,0.1577845960855484
125,0.8291314542293549,0.6403400003910065,0.3816491365432739,0.899030864238739,0.17086854577064514,0.17086853832006454
150,0.8249860405921936,0.6339865475893021,0.37671345472335815,0.891259640455246,0.1750139594078064,0.1750139445066452
200,0.8181700110435486,0.6226404681801796,0.3552662283182144,0.8900147080421448,0.18182998895645142,0.18182995170354843
250,0.8184888958930969,0.6285078600049019,0.366550013422966,0.8904657065868378,0.18151110410690308,0.1815110743045807
300,0.8175621628761292,0.6183557063341141,0.3489990532398224,0.8877123594284058,0.18243783712387085,0.18243781477212906
400,0.8257732689380646,0.6413739323616028,0.386590838432312,0.8961570262908936,0.17422673106193542,0.17422671616077423
500,0.8184291124343872,0.6326292678713799,0.37505362927913666,0.890204906463623,0.1815708875656128,0.181570865213871
