t,pixel_acc,balanced_acc,fg_acc,bg_acc,hamming,mae
1,0.9999335408210754,0.9997548758983612,0.9995097517967224,1.0,6.645917892456055e-05,6.643282176810317e-05
10,0.9981199105580648,0.9963639279206594,0.9939767718315125,0.9987510840098063,0.0018800894419352214,0.0018800488905981183
20,0.992021381855011,0.984809160232544,0.9749327103296915,0.9946856101353964,0.007978618144989014,0.007978581668188175
50,0.9423229893048605,0.9015073577562968,0.8453449209531149,0.9576697945594788,0.057677010695139565,0.05767697592576345
75,0.8496492107709249,0.7473271389802297,0.6056865851084391,0.8889676928520203,0.1503507892290751,0.15035076439380646
100,0.7817150354385376,0.6362503319978714,0.4391019244988759,0.8333987394968668,0.2182849645614624,0.2182849645614624
150,0.760177473227183,0.6018270254135132,0.38718148072560626,0.81647257010142,0.23982252677281699,0.23982248703638712
200,0.7587159673372904,0.6001523931821188,0.38556450605392456,0.8147402803103129,0.24128403266270956,0.24128401279449463
300,0.755480686823527,0.5975328087806702,0.37990375359853107,0.8151618639628092,0.244519313176473,0.2445192833741506
500,0.7627550760904948,0.5992467999458313,0.3777094880739848,0.8207841118176779,0.23724492390950522,0.23724489410718283
